Nombre,Apellido materno,Apellido paterno,Edad,CURP,Prueba1,Prueba2,Team
Shenika Shenika,Seewald,Lapage,16,5368656e696b615368656e696b6153656577616c644c61706167654341,100D,100L,E
Delmy Delmy,Ahle,Greenbush,18,44656c6d7944656c6d7941686c65477265656e627573685249,50D,100P,C
Deeanna Deeanna,Juhas,Castros,11,446565616e6e61446565616e6e614a7568617343617374726f735041,100CI,100P,D
Blondell Blondell,Pugh,Swayze,12,426c6f6e64656c6c426c6f6e64656c6c50756768537761797a655249,100P,50L,E
Jamal Jamal,Vanausdal,Myricks,17,4a616d616c4a616d616c56616e61757364616c4d797269636b734e4a,100L,50P,D
Cecily Cecily,Hollack,Suell,15,436563696c79436563696c79486f6c6c61636b5375656c6c5458,50P,50D,B
Carmelina Carmelina,Lindall,Leinenbach,18,4361726d656c696e614361726d656c696e614c696e64616c6c4c65696e656e62616368434f,100D,100CI,B
Maurine Maurine,Yglesias,Ohms,18,4d617572696e654d617572696e6559676c65736961734f686d735749,100L,100CI,F
Tawna Tawna,Buvens,Angalich,13,5461776e615461776e61427576656e73416e67616c6963684e59,50P,100CI,D
Penney Penney,Weight,Wenzinger,11,50656e6e657950656e6e657957656967687457656e7a696e676572414b,100P,50P,D
Elly Elly,Morocco,Heimann,14,456c6c79456c6c794d6f726f63636f4865696d616e6e5041,100L,100D,A
Ilene Ilene,Eroman,Jurney,15,496c656e65496c656e6545726f6d616e4a75726e65794d44,100L,100P,E
Vallie Vallie,Mondella,Onofrio,9,56616c6c696556616c6c69654d6f6e64656c6c614f6e6f6672696f4944,100CI,50L,B
Kallie Kallie,Blackwood,Husser,13,4b616c6c69654b616c6c6965426c61636b776f6f644875737365724341,100CI,50P,A
Johnetta Johnetta,Abdallah,Lueckenbach,16,4a6f686e657474614a6f686e65747461416264616c6c61684c7565636b656e626163684e43,100P,50M,F
Bobbye Bobbye,Rhym,Mcrae,14,426f62627965426f626279655268796d4d637261654341,50M,50L,D
Micaela Micaela,Rhymes,Sarao,15,4d696361656c614d696361656c615268796d6573536172616f4341,50L,100D,D
Tamar Tamar,Hoogland,Sengbusch,18,54616d617254616d6172486f6f676c616e6453656e6762757363684f48,50M,50L,A
Moon Moon,Parlato,Nayar,16,4d6f6f6e4d6f6f6e5061726c61746f4e617961724e59,50P,100P,A
Laurel Laurel,Reitler,Borgman,13,4c617572656c4c617572656c526569746c6572426f72676d616e4d44,100CI,100L,F
Delisa Delisa,Crupi,Ostolaza,13,44656c69736144656c69736143727570694f73746f6c617a614e4a,50L,50D,B
Viva Viva,Toelkes,Kiel,11,5669766156697661546f656c6b65734b69656c494c,50D,100D,A
Elza Elza,Lipke,Gleich,16,456c7a61456c7a614c69706b65476c656963684e4a,100D,100P,F
Devorah Devorah,Chickering,Kaniecki,9,4465766f7261684465766f726168436869636b6572696e674b616e6965636b694e4d,100L,50P,D
Timothy Timothy,Mulqueen,Tomblin,18,54696d6f74687954696d6f7468794d756c717565656e546f6d626c696e4e59,100L,50P,E
Arlette Arlette,Honeywell,Auber,18,41726c6574746541726c65747465486f6e657977656c6c4175626572464c,50D,100D,F
Dominque Dominque,Dickerson,Jayson,15,446f6d696e717565446f6d696e7175654469636b6572736f6e4a6179736f6e4341,100D,100P,D
Lettie Lettie,Isenhower,Hoopengardner,14,4c65747469654c65747469654973656e686f776572486f6f70656e676172646e65724f48,50M,50L,A
Myra Myra,Munns,Rhoden,12,4d7972614d7972614d756e6e7352686f64656e5458,100CI,50L,C
Stephaine Stephaine,Barfield,Meteer,18,537465706861696e65537465706861696e654261726669656c644d65746565724341,100P,100CI,E
Lai Lai,Gato,Schmaltz,9,4c61694c61694761746f5363686d616c747a494c,100D,100L,D
Stephen Stephen,Emigh,Rodefer,18,5374657068656e5374657068656e456d696768526f64656665724f48,100P,50D,F
Tyra Tyra,Shields,Hudnall,17,5479726154797261536869656c64734875646e616c6c5041,50L,100P,E
Tammara Tammara,Wardrip,Slayton,11,54616d6d61726154616d6d61726157617264726970536c6179746f6e4341,50D,100D,F
Cory Cory,Gibes,Miro,12,436f7279436f727947696265734d69726f4341,100L,100P,C
Danica Danica,Bruschke,Berlanga,12,44616e69636144616e6963614272757363686b654265726c616e67615458,100CI,100L,E
Wilda Wilda,Giguere,Farrow,13,57696c646157696c646147696775657265466172726f77414b,50M,50L,A
Elvera Elvera,Benimadho,Walthall,10,456c76657261456c7665726142656e696d6164686f57616c7468616c6c4341,50D,100L,B
Carma Carma,Vanheusen,Andreason,14,4361726d614361726d6156616e68657573656e416e64726561736f6e4341,50P,100P,A
Malinda Malinda,Hochard,Pedrozo,15,4d616c696e64614d616c696e6461486f6368617264506564726f7a6f494e,50P,50D,B
Natalie Natalie,Fern,Mccullan,13,4e6174616c69654e6174616c69654665726e4d6363756c6c616e5759,100P,50L,A
Lisha Lisha,Centini,Mcdoniel,11,4c697368614c6973686143656e74696e694d63646f6e69656c5641,100CI,50D,A
Arlene Arlene,Klusman,Storment,17,41726c656e6541726c656e654b6c75736d616e53746f726d656e744c41,50M,50D,C
Alease Alease,Buemi,Maile,13,416c65617365416c656173654275656d694d61696c65434f,100D,100P,A
Louisa Louisa,Cronauer,Ryser,14,4c6f756973614c6f7569736143726f6e6175657252797365724341,50M,50P,B
Angella Angella,Cetta,Munis,17,416e67656c6c61416e67656c6c6143657474614d756e69734849,50D,50M,F
Cyndy Cyndy,Goldammer,Ketelsen,12,43796e647943796e6479476f6c64616d6d65724b6574656c73656e4d4e,100CI,100L,B
Rosio Rosio,Cork,Tagala,11,526f73696f526f73696f436f726b546167616c614e43,100D,100P,C
Celeste Celeste,Korando,Frerking,18,43656c6573746543656c657374654b6f72616e646f467265726b696e674e59,100D,50L,B
Twana Twana,Felger,Pagliuca,13,5477616e615477616e6146656c6765725061676c697563614f52,50M,50L,E
Estrella Estrella,Samu,Newville,9,45737472656c6c6145737472656c6c6153616d754e657776696c6c655749,50D,50L,B
Donte Donte,Kines,Klang,14,446f6e7465446f6e74654b696e65734b6c616e674d41,50P,50L,C
Tiffiny Tiffiny,Steffensmeier,Berray,11,54696666696e7954696666696e795374656666656e736d65696572426572726179464c,50M,50L,D
Edna Edna,Miceli,Kohl,18,45646e6145646e614d6963656c694b6f686c5041,100CI,100L,E
Sue Sue,Kownacki,Witten,14,5375655375654b6f776e61636b6957697474656e5458,50D,100P,F
Jesusa Jesusa,Shin,Schoeneck,16,4a65737573614a65737573615368696e5363686f656e65636b544e,50P,50D,B
Rolland Rolland,Francescon,Kitty,18,526f6c6c616e64526f6c6c616e644672616e636573636f6e4b697474794e4a,100L,100CI,A
Pamella Pamella,Schmierer,Feichtner,14,50616d656c6c6150616d656c6c615363686d69657265724665696368746e6572464c,100P,100CI,D
Glory Glory,Kulzer,Cantres,14,476c6f7279476c6f72794b756c7a657243616e747265734d44,100L,100P,D
Shawna Shawna,Palaspas,Ventura,11,536861776e61536861776e6150616c617370617356656e747572614341,50P,100CI,E
Brandon Brandon,Callaro,Scipione,18,4272616e646f6e4272616e646f6e43616c6c61726f53636970696f6e654849,50M,50D,F
Scarlet Scarlet,Cartan,Drymon,16,536361726c6574536361726c657443617274616e4472796d6f6e4741,50P,50M,B
Oretha Oretha,Menter,Nievas,15,4f72657468614f72657468614d656e7465724e69657661734d41,50P,50D,B
Ty Ty,Smith,Schnitzler,13,54795479536d6974685363686e69747a6c65724e4a,50L,50P,A
Xuan Xuan,Rochin,Daufeldt,18,5875616e5875616e526f6368696e44617566656c64744341,100CI,50L,A
Lindsey Lindsey,Dilello,Bachman,9,4c696e647365794c696e6473657944696c656c6c6f426163686d616e4341,100D,100P,D
Devora Devora,Perez,Lukasik,10,4465766f72614465766f7261506572657a4c756b6173696b4341,100CI,100D,B
Herman Herman,Demesa,Sahagun,13,4865726d616e4865726d616e44656d6573615361686167756e4e59,100CI,50P,A
Rory Rory,Papasergi,Zagen,17,526f7279526f72795061706173657267695a6167656e5041,100D,100L,B
Talia Talia,Riopelle,Colla,16,54616c696154616c696152696f70656c6c65436f6c6c614e4a,100CI,50D,B
Van Van,Shire,Butzen,11,56616e56616e53686972654275747a656e4e4a,50D,50M,A
Lucina Lucina,Lary,Funnell,17,4c7563696e614c7563696e614c61727946756e6e656c6c464c,100CI,50M,C
Bok Bok,Isaacs,Louissant,10,426f6b426f6b4973616163734c6f75697373616e744e59,100P,100L,C
Rolande Rolande,Spickerman,Kannady,9,526f6c616e6465526f6c616e6465537069636b65726d616e4b616e6e6164794849,50M,50L,A
Howard Howard,Paulas,Birkner,14,486f77617264486f776172645061756c61734269726b6e6572434f,100D,50P,F
Kimbery Kimbery,Madarang,Dorshorst,10,4b696d626572794b696d626572794d61646172616e67446f7273686f7273744e4a,50M,50D,B
Thurman Thurman,Manno,Wide,14,546875726d616e546875726d616e4d616e6e6f576964654e4a,50M,50L,C
Becky Becky,Mirafuentes,Paa,12,4265636b794265636b794d6972616675656e7465735061614e4a,50D,50M,D
Beatriz Beatriz,Corrington,Dubaldi,12,4265617472697a4265617472697a436f7272696e67746f6e447562616c64694d41,50M,50P,B
Marti Marti,Maybury,Rauser,18,4d617274694d617274694d617962757279526175736572494c,50P,100L,D
Nieves Nieves,Gotter,Linahan,16,4e69657665734e6965766573476f747465724c696e6168616e4f52,100CI,100L,D
Leatha Leatha,Hagele,Discipio,18,4c65617468614c6561746861486167656c65446973636970696f5458,100P,50D,A
Valentin Valentin,Klimek,Semidey,10,56616c656e74696e56616c656e74696e4b6c696d656b53656d69646579494c,50D,50M,C
Melissa Melissa,Wiklund,Maillard,15,4d656c697373614d656c6973736157696b6c756e644d61696c6c6172644f48,50L,100P,B
Sheridan Sheridan,Zane,Gwalthney,13,536865726964616e536865726964616e5a616e654777616c74686e65794341,100CI,100P,E
Bulah Bulah,Padilla,Zepp,9,42756c616842756c6168506164696c6c615a6570705458,100CI,50P,E
Audra Audra,Kohnert,Ehmann,12,417564726141756472614b6f686e65727445686d616e6e544e,100P,50L,F
Daren Daren,Weirather,Yaw,10,446172656e446172656e5765697261746865725961775749,100L,100P,F
Fernanda Fernanda,Jillson,Beech,17,4665726e616e64614665726e616e64614a696c6c736f6e42656563684d44,50D,100D,E
Gearldine Gearldine,Gellinger,Patak,9,476561726c64696e65476561726c64696e6547656c6c696e676572506174616b5458,100D,50P,F
Chau Chau,Kitzman,Shadrick,9,43686175436861754b69747a6d616e536861647269636b4341,50D,100L,E
Theola Theola,Frey,Acuff,13,5468656f6c615468656f6c614672657941637566664e59,100P,100L,D
Cheryl Cheryl,Haroldson,Bennick,12,43686572796c43686572796c4861726f6c64736f6e42656e6e69636b4e4a,50M,100CI,F
Laticia Laticia,Merced,Meisel,12,4c6174696369614c6174696369614d65726365644d656973656c4f48,50M,100L,B
Carissa Carissa,Batman,Heintzman,17,43617269737361436172697373614261746d616e4865696e747a6d616e4f52,100L,100CI,A
Lezlie Lezlie,Craghead,Estell,15,4c657a6c69654c657a6c69654372616768656164457374656c6c4e43,50M,50L,F
Ozell Ozell,Shealy,Rodenberger,12,4f7a656c6c4f7a656c6c536865616c79526f64656e6265726765724e59,100D,50D,C
Arminda Arminda,Parvis,Bilden,15,41726d696e646141726d696e646150617276697342696c64656e415a,50D,100P,D
Reita Reita,Leto,Lizama,16,526569746152656974614c65746f4c697a616d61494e,100D,50P,A
Yolando Yolando,Luczki,Wolny,9,596f6c616e646f596f6c616e646f4c75637a6b69576f6c6e794e59,50M,50P,B
Lizette Lizette,Stem,Halsey,18,4c697a657474654c697a657474655374656d48616c7365794e4a,100D,50D,E
Gregoria Gregoria,Pawlowicz,Syrop,17,477265676f726961477265676f7269615061776c6f7769637a5379726f704e59,50M,50L,C
Carin Carin,Deleo,Stuer,11,436172696e436172696e44656c656f53747565724152,100L,50P,D
Chantell Chantell,Maynerich,Saras,9,4368616e74656c6c4368616e74656c6c4d61796e657269636853617261734d4e,100CI,50D,A
Dierdre Dierdre,Yum,Ogg,16,446965726472654469657264726559756d4f67675041,50M,50L,E
Larae Larae,Gudroe,Keneipp,9,4c617261654c61726165477564726f654b656e656970704c41,50L,100CI,B
Latrice Latrice,Tolfree,Labreche,15,4c6174726963654c617472696365546f6c667265654c616272656368654e59,100CI,50D,E
Kerry Kerry,Theodorov,Loder,12,4b657272794b657272795468656f646f726f764c6f6465724341,100D,50L,A
Dorthy Dorthy,Hidvegi,Nachor,9,446f72746879446f72746879486964766567694e6163686f724944,50P,50D,B
Fannie Fannie,Lungren,Brucato,14,46616e6e696546616e6e69654c756e6772656e4272756361746f5458,50P,100CI,F
Evangelina Evangelina,Radde,Mauson,14,4576616e67656c696e614576616e67656c696e6152616464654d6175736f6e5041,50M,50L,C
Novella Novella,Degroot,Herritt,18,4e6f76656c6c614e6f76656c6c61446567726f6f74486572726974744849,100P,100CI,B
Clay Clay,Hoa,Gehrett,16,436c6179436c6179486f61476568726574744e56,100P,100L,C
Jennifer Jennifer,Fallick,Amyot,13,4a656e6e696665724a656e6e6966657246616c6c69636b416d796f74494c,50L,50D,E
Irma Irma,Wolfgramm,Ragel,14,49726d6149726d61576f6c666772616d6d526167656c4e4a,100L,100CI,C
Eun Eun,Coody,Dallen,9,45756e45756e436f6f647944616c6c656e5343,100P,100CI,F
Sylvia Sylvia,Cousey,Dhamer,11,53796c76696153796c766961436f757365794468616d65724d44,50L,100L,E
Nana Nana,Wrinkles,Nabours,12,4e616e614e616e615772696e6b6c65734e61626f7572734e59,100P,100L,B
Layla Layla,Springe,Ferrario,12,4c61796c614c61796c61537072696e6765466572726172696f4e59,50D,50P,A
Joesph Joesph,Degonia,Buzick,18,4a6f657370684a6f657370684465676f6e696142757a69636b4341,50D,50P,B
Annabelle Annabelle,Boord,Martabano,12,416e6e6162656c6c65416e6e6162656c6c65426f6f72644d6172746162616e6f4d41,100CI,100D,D
Stephaine Stephaine,Vinning,Halter,10,537465706861696e65537465706861696e6556696e6e696e6748616c7465724341,100D,100P,D
Nelida Nelida,Sawchuk,Hoffis,10,4e656c6964614e656c6964615361776368756b486f666669734e4a,100D,100L,D
Marguerita Marguerita,Hiatt,Julia,12,4d6172677565726974614d61726775657269746148696174744a756c69614341,50L,50M,B
Carmela Carmela,Cookey,Flister,17,4361726d656c614361726d656c61436f6f6b6579466c6973746572494c,50D,100P,D
Junita Junita,Brideau,Thyberg,18,4a756e6974614a756e69746142726964656175546879626572674e4a,50D,50L,B
Claribel Claribel,Varriano,Adkin,9,436c61726962656c436c61726962656c5661727269616e6f41646b696e4f48,50D,50P,F
Benton Benton,Skursky,Tomasulo,16,42656e746f6e42656e746f6e536b7572736b79546f6d6173756c6f4341,50M,50L,E
Hillary Hillary,Skulski,Scriven,17,48696c6c61727948696c6c617279536b756c736b695363726976656e464c,50P,100P,E
Merilyn Merilyn,Bayless,Vonasek,15,4d6572696c796e4d6572696c796e4261796c657373566f6e6173656b4341,100L,100P,D
Teri Teri,Ennaco,Lietz,18,5465726954657269456e6e61636f4c6965747a5041,100CI,100L,B
Merlyn Merlyn,Lawler,Canlas,13,4d65726c796e4d65726c796e4c61776c657243616e6c61734e4a,100P,100CI,A
Georgene Georgene,Montezuma,Brachle,18,47656f7267656e6547656f7267656e654d6f6e74657a756d6142726163686c654341,100L,100CI,F
Jettie Jettie,Mconnell,Perigo,9,4a65747469654a65747469654d636f6e6e656c6c50657269676f4e4a,50P,50L,B
Lemuel Lemuel,Latzke,Hauenstein,18,4c656d75656c4c656d75656c4c61747a6b65486175656e737465696e4e59,50P,100L,C
Melodie Melodie,Knipp,Timenez,15,4d656c6f6469654d656c6f6469654b6e69707054696d656e657a4341,100D,50P,B
Candida Candida,Corbley,Schirpke,10,43616e6469646143616e64696461436f72626c65795363686972706b654e4a,100P,50P,A
Karan Karan,Karpin,Eschberger,17,4b6172616e4b6172616e4b617270696e457363686265726765724f52,100D,100L,D
Andra Andra,Scheyer,Reiber,9,416e647261416e647261536368657965725265696265724f52,50D,100P,F
Felicidad Felicidad,Poullion,Matuszak,12,46656c69636964616446656c696369646164506f756c6c696f6e4d617475737a616b4e4a,50P,100D,A
Belen Belen,Strassner,Monterrubio,10,42656c656e42656c656e5374726173736e65724d6f6e746572727562696f4741,100L,50D,A
Gracia Gracia,Melnyk,Regusters,17,4772616369614772616369614d656c6e796b526567757374657273464c,100L,100D,D
Jolanda Jolanda,Hanafan,Turinetti,14,4a6f6c616e64614a6f6c616e646148616e6166616e547572696e657474694d45,50D,50M,E
Barrett Barrett,Toyama,Sweely,14,4261727265747442617272657474546f79616d61537765656c795458,50P,100P,C
Helga Helga,Fredicks,Hirpara,10,48656c676148656c67614672656469636b73486972706172614e59,100P,50D,D
Ashlyn Ashlyn,Pinilla,Lace,10,4173686c796e4173686c796e50696e696c6c614c616365464c,100P,50D,D
Fausto Fausto,Agramonte,Tjepkema,15,46617573746f46617573746f416772616d6f6e7465546a65706b656d614e59,100D,50D,F
Ronny Ronny,Caiafa,Aquas,18,526f6e6e79526f6e6e7943616961666141717561735041,50D,50L,D
Marge Marge,Limmel,Treston,11,4d617267654d617267654c696d6d656c54726573746f6e464c,50D,100CI,C
Norah Norah,Waymire,Candlish,11,4e6f7261684e6f7261685761796d69726543616e646c6973684341,50L,50D,A
Aliza Aliza,Baltimore,Upthegrove,10,416c697a61416c697a6142616c74696d6f7265557074686567726f76654341,100L,50L,A
Mozell Mozell,Pelkowski,Tawil,12,4d6f7a656c6c4d6f7a656c6c50656c6b6f77736b69546177696c4341,50D,50M,C
Viola Viola,Bitsuie,Pontoriero,15,56696f6c6156696f6c6142697473756965506f6e746f726965726f4341,50M,100D,F
Franklyn Franklyn,Emard,Mallett,11,4672616e6b6c796e4672616e6b6c796e456d6172644d616c6c6574745041,100D,50D,B
Willodean Willodean,Konopacki,Maisto,12,57696c6c6f6465616e57696c6c6f6465616e4b6f6e6f7061636b694d616973746f4c41,50P,50M,A
Beckie Beckie,Silvestrini,Good,16,4265636b69654265636b696553696c7665737472696e69476f6f644d49,50M,50P,E
Rebecka Rebecka,Gesick,Nicolozakes,12,52656265636b6152656265636b6147657369636b4e69636f6c6f7a616b65735458,100L,100P,A
Frederica Frederica,Blunk,Stoltzman,16,467265646572696361467265646572696361426c756e6b53746f6c747a6d616e5458,100D,50D,D
Glen Glen,Bartolet,Hengel,12,476c656e476c656e426172746f6c657448656e67656c5741,100CI,100L,C
Freeman Freeman,Gochal,Sweigard,10,467265656d616e467265656d616e476f6368616c53776569676172645041,50L,50D,A
Vincent Vincent,Meinerding,Kalafatis,15,56696e63656e7456696e63656e744d65696e657264696e674b616c6166617469735041,50L,100P,F
Rima Rima,Bevelacqua,Restrepo,15,52696d6152696d61426576656c6163717561526573747265706f4341,50P,50D,A
Glendora Glendora,Sarbacher,Neither,11,476c656e646f7261476c656e646f72615361726261636865724e6569746865724341,100CI,50L,C
Avery Avery,Steier,Keetch,17,417665727941766572795374656965724b6565746368464c,100P,100CI,A
Cristy Cristy,Lother,Lacovara,12,4372697374794372697374794c6f746865724c61636f766172614341,100D,50D,F
Nicolette Nicolette,Brossart,Rodeigues,12,4e69636f6c657474654e69636f6c6574746542726f7373617274526f646569677565734d41,50M,100P,C
Tracey Tracey,Modzelewski,Coyier,10,5472616365795472616365794d6f647a656c6577736b69436f796965725458,100P,100L,F
Virgina Virgina,Tegarden,Layous,16,56697267696e6156697267696e61546567617264656e4c61796f75735749,100L,100P,B
Tiera Tiera,Frankel,Bubash,16,546965726154696572614672616e6b656c4275626173684341,50M,50L,C
Alaine Alaine,Bergesen,Calvaresi,12,416c61696e65416c61696e65426572676573656e43616c7661726573694e59,100D,50L,E
Earleen Earleen,Mai,Kippley,11,4561726c65656e4561726c65656e4d61694b6970706c65795458,100D,100P,E
Leonida Leonida,Gobern,Cryer,12,4c656f6e6964614c656f6e696461476f6265726e43727965724d53,50D,50M,F
Ressie Ressie,Auffrey,Denooyer,14,5265737369655265737369654175666672657944656e6f6f796572464c,100D,50M,A
Justine Justine,Mugnolo,Zurcher,10,4a757374696e654a757374696e654d75676e6f6c6f5a7572636865724e59,100CI,100L,E
Eladia Eladia,Saulter,Riden,14,456c61646961456c616469615361756c746572526964656e4e4a,100D,50D,B
Chaya Chaya,Malvin,Cloney,9,436861796143686179614d616c76696e436c6f6e65794d49,100L,50M,D
Gwenn Gwenn,Suffield,Engelberg,9,4777656e6e4777656e6e5375666669656c64456e67656c626572674e59,100CI,50D,F
Salena Salena,Karpel,Haufler,10,53616c656e6153616c656e614b617270656c486175666c65724f48,50D,100P,B
Yoko Yoko,Fishburne,Fortino,14,596f6b6f596f6b6f466973686275726e65466f7274696e6f4354,50M,50P,B
Taryn Taryn,Moyd,Westerbeck,15,546172796e546172796e4d6f79645765737465726265636b5641,50M,50L,C
Katina Katina,Polidori,Acey,18,4b6174696e614b6174696e61506f6c69646f7269416365794d41,50P,100P,D
Rickie Rickie,Plumer,Hamilton,16,5269636b69655269636b6965506c756d657248616d696c746f6e4f48,100P,50M,C
Alex Alex,Loader,Farrar,17,416c6578416c65784c6f616465724661727261725741,50D,50P,F
Lashon Lashon,Vizarro,Fillingim,11,4c6173686f6e4c6173686f6e56697a6172726f46696c6c696e67696d4341,50D,50M,D
